,artist_name,artist_id,followers,popularity,genres
183,Diplo,5fMUXHkw8R8eOP2RNVYEZX,2296359,88,"['bmore', 'edm', 'moombahton', 'ninja', 'pop', 'tropical house']"
184,Kareen Lomax,0Fb9qTWnjsB90xH3zWr4oa,3840,69,[]
185,Tina Turner,1zuJe6b1roixEKMOtyrEak,2035772,77,"['disco', 'europop', 'mellow gold', 'new wave pop', 'soft rock']"
186,Purple Disco Machine,2WBJQGf1bT1kxuoqziH5g4,181634,76,"['deep house', 'disco house', 'house', 'tropical house']"
187,Sophie and the Giants,4FrXHrpbDLNyO3pbVv8RmF,9441,71,['sheffield indie']
188,Rompasso,7dJzxVffEZI5MuHOJiQB5A,31911,65,"['pop edm', 'russian edm']"
189,Lost Frequencies,7f5Zgnp2spUuuzKplmRkt7,1949184,78,"['belgian edm', 'edm', 'electro house', 'pop', 'tropical house']"
190,Mathieu Koss,4W6fwRbqEy1dfEoE6OCyZu,6797,65,['new french touch']
191,Bob Moses,6LHsnRBUYhFyt01PdKXAF5,221791,65,"['canadian electronic', 'canadian house', 'indie soul', 'tropical house']"
192,Love Regenerator,05KDKIpxshxrB9BMewaCBW,32021,63,"['deep groove house', 'disco house', 'edm', 'house']"
193,Steve Lacy,57vWImR43h4CaDao012Ofp,442927,74,"['afrofuturism', 'indie r&b', 'rap']"
194,Calvin Harris,7CajNmpbOovFoOoasH2HaY,20681990,89,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'tropical house', 'uk dance']"
195,Rasster,3LVYHgfHgCTy3QSRt5kKQg,3679,64,[]
196,Erin Bloomer,5vPqlDBYNZiF5SrHGS6Cyt,5765,63,['indie cafe pop']
197,Nathan Dawe,2gduEC76ry33RVurAvT05p,23684,72,"['house', 'tropical house', 'uk dance']"
198,KSI,1nzgtKYFckznkcVMR3Gg4z,1354537,77,['uk hip hop']
199,MK,1yqxFtPHKcGcv6SXZNdyT9,198299,74,"['dance pop', 'deep groove house', 'disco house', 'edm', 'house', 'pop', 'tropical house']"
200,Carla Monroe,4S9LNSZusH3XflT3g32bqB,748,61,[]
201,Elderbrook,2vf4pRsEY6LpL5tKmqWb64,159122,75,"['deep house', 'house', 'new french touch', 'tropical house']"
202,Sofi Tukker,586uxXMyD5ObPuzjtrzO1Q,455508,73,"['electropop', 'pop']"
203,Gorgon City,4VNQWV2y1E97Eqo2D5UTjx,319089,70,"['deep groove house', 'disco house', 'edm', 'future garage', 'house', 'progressive house', 'tropical house', 'uk dance']"
204,Prospa,6HabM2PUM519iIxervGWSb,12677,55,"['house', 'uk house']"
205,Chico Rose,5OdVywqKqyCWwfE2fZb7IX,16097,68,"['deep big room', 'edm', 'electro house', 'pop edm']"
206,Afrojack,4D75GcNG95ebPtNvoNVXhz,3497266,78,"['big room', 'dance pop', 'deep big room', 'dutch house', 'edm', 'electro house', 'pop', 'progressive electro house', 'progressive house', 'tropical house']"
207,Azteck,13NpuESz6tlK819yBs0PuS,537,61,[]
208,Armin van Buuren,0SfsnGyD8FpIN4U4WCkBZ5,3599985,79,"['big room', 'dutch trance', 'edm', 'progressive house', 'trance']"
209,Nicky Romero,5ChF3i92IPZHduM7jN3dpg,1962304,71,"['big room', 'deep big room', 'dutch edm', 'edm', 'electro house', 'pop edm', 'progressive electro house', 'progressive house', 'tropical house']"
210,Ifimay,475ysTPd5Bci0mElQUcYak,638,55,[]
211,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,21553815,88,"['dance pop', 'edm', 'pop']"
212,MORTEN,19HFRWmRCl27kTk6LeqAO8,48113,66,"['danish electronic', 'scandipop']"
213,VER:WEST,0Ig1YsHXd4GGVLWXXYqM2W,6193,47,[]
214,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,5124960,83,"['big room', 'brostep', 'dance pop', 'dutch edm', 'edm', 'electro house', 'house', 'pop', 'trance', 'tropical house']"
215,Dynoro,3v6Ji4uoWtKRkhuDUaxi9n,204947,76,"['edm', 'electro house', 'tropical house']"
216,Outwork,6rGhQugzXpnsrhvVdlSpdT,1174,54,[]
217,Mr. Gee,1t0N8xISGp4xXkCTyMBFYZ,148,53,[]
218,Carnage,7CCjtD0hCK005Bvg2WG1a7,281323,66,"['edm', 'electro house', 'electronic trap', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']"
219,The Martinez Brothers,7B1LLuCQk13H4Mb6CFBftU,129229,54,['minimal tech house']
220,MIKE DEAN,5TAipisjquAkq2o7lzMJyc,10020,46,[]
221,Aluna,5ITI6SEoUZMIXXkzCfr4oE,13200,60,['electropop']
222,AlunaGeorge,2VAnyOxzJuSAj7XIuEOT38,396354,70,"['electropop', 'house', 'pop', 'tropical house']"
223,BRONSON,60yfafz0P3gqaUaOUIddae,26366,64,['edm']
224,ODESZA,21mKp7DqtSNHhCAU2ugvUw,1214104,75,"['chillwave', 'ninja']"
225,Golden Features,2SrWifjYv7b5tR8EzEmn1x,88402,66,['australian indie']
226,Gallant,7wFDo161xYdeaiLz3KIHoM,256324,63,"['alternative r&b', 'indie r&b']"
227,Disclosure,6nS5roXSAGhTGr34W6n7Et,1824676,82,"['house', 'pop', 'tropical house', 'uk dance']"
